borough,age,date,asthma_er_count,ppt
Bronx,Ages 0-4 years,2016-01-01,12,0
Bronx,Ages 0-4 years,2016-01-02,18,0
Bronx,Ages 0-4 years,2016-01-03,6,0
Bronx,Ages 0-4 years,2016-01-04,9,0
Bronx,Ages 0-4 years,2016-01-05,11,0
Bronx,Ages 0-4 years,2016-01-06,14,0
Bronx,Ages 0-4 years,2016-01-07,9,0
Bronx,Ages 0-4 years,2016-01-08,9,0
Bronx,Ages 0-4 years,2016-01-09,12,0.0028633308895063534
Bronx,Ages 0-4 years,2016-01-10,10,38.819472596215824
Bronx,Ages 0-4 years,2016-01-11,10,6.893756700304197
Bronx,Ages 0-4 years,2016-01-12,10,0
Bronx,Ages 0-4 years,2016-01-13,8,1.4480797876467163e-4
Bronx,Ages 0-4 years,2016-01-14,11,0
Bronx,Ages 0-4 years,2016-01-15,13,0
Bronx,Ages 0-4 years,2016-01-16,10,5.936412536840902
Bronx,Ages 0-4 years,2016-01-17,11,0.13598493221505656
Bronx,Ages 0-4 years,2016-01-18,7,0.9307095911233146
Bronx,Ages 0-4 years,2016-01-19,7,0
Bronx,Ages 0-4 years,2016-01-20,15,0
Bronx,Ages 0-4 years,2016-01-21,5,0
Bronx,Ages 0-4 years,2016-01-22,11,0
Bronx,Ages 0-4 years,2016-01-23,4,21.358675855701307
Bronx,Ages 0-4 years,2016-01-24,6,44.47275316133489
Bronx,Ages 0-4 years,2016-01-25,9,0
Bronx,Ages 0-4 years,2016-01-26,10,0
Bronx,Ages 0-4 years,2016-01-27,14,0
Bronx,Ages 0-4 years,2016-01-28,7,0
Bronx,Ages 0-4 years,2016-01-29,7,0
Bronx,Ages 0-4 years,2016-01-30,8,0
Bronx,Ages 0-4 years,2016-01-31,9,0
Bronx,Ages 0-4 years,2016-02-01,8,0
Bronx,Ages 0-4 years,2016-02-02,10,0.9093008817111474
Bronx,Ages 0-4 years,2016-02-03,9,0
Bronx,Ages 0-4 years,2016-02-04,17,13.251471896746231
Bronx,Ages 0-4 years,2016-02-05,9,12.846566189934464
Bronx,Ages 0-4 years,2016-02-06,4,4.914915095550491
Bronx,Ages 0-4 years,2016-02-07,7,0
Bronx,Ages 0-4 years,2016-02-08,12,0
Bronx,Ages 0-4 years,2016-02-09,11,0.203535945045167
Bronx,Ages 0-4 years,2016-02-10,12,0.3792358217828678
Bronx,Ages 0-4 years,2016-02-11,8,0.001566478703401613
Bronx,Ages 0-4 years,2016-02-12,11,0
Bronx,Ages 0-4 years,2016-02-13,6,0
Bronx,Ages 0-4 years,2016-02-14,7,0
Bronx,Ages 0-4 years,2016-02-15,13,0
Bronx,Ages 0-4 years,2016-02-16,15,12.238339714403507
Bronx,Ages 0-4 years,2016-02-17,6,21.254652683650548
Bronx,Ages 0-4 years,2016-02-18,6,0
Bronx,Ages 0-4 years,2016-02-19,4,0
Bronx,Ages 0-4 years,2016-02-20,5,0
Bronx,Ages 0-4 years,2016-02-21,9,0
Bronx,Ages 0-4 years,2016-02-22,10,2.174563380252367
Bronx,Ages 0-4 years,2016-02-23,6,0
Bronx,Ages 0-4 years,2016-02-24,10,12.173012079397328
Bronx,Ages 0-4 years,2016-02-25,5,26.113558498143643
Bronx,Ages 0-4 years,2016-02-26,6,0.0094636299612618
Bronx,Ages 0-4 years,2016-02-27,6,0
Bronx,Ages 0-4 years,2016-02-28,12,0
Bronx,Ages 0-4 years,2016-02-29,10,0
Bronx,Ages 0-4 years,2016-03-01,5,0.9998598378579633
Bronx,Ages 0-4 years,2016-03-02,8,4.379956020348159
Bronx,Ages 0-4 years,2016-03-03,7,0
Bronx,Ages 0-4 years,2016-03-04,13,2.025921030912493
Bronx,Ages 0-4 years,2016-03-05,12,1.278065733385098
Bronx,Ages 0-4 years,2016-03-06,18,0
Bronx,Ages 0-4 years,2016-03-07,15,0
Bronx,Ages 0-4 years,2016-03-08,15,0
Bronx,Ages 0-4 years,2016-03-09,12,0
Bronx,Ages 0-4 years,2016-03-10,9,0
Bronx,Ages 0-4 years,2016-03-11,12,0.3387345808557009
Bronx,Ages 0-4 years,2016-03-12,5,0
Bronx,Ages 0-4 years,2016-03-13,14,0
Bronx,Ages 0-4 years,2016-03-14,8,2.4460788439283268
Bronx,Ages 0-4 years,2016-03-15,8,13.059130079317299
Bronx,Ages 0-4 years,2016-03-16,10,6.150619063818824e-7
Bronx,Ages 0-4 years,2016-03-17,14,1.5101890444547221
Bronx,Ages 0-4 years,2016-03-18,7,1.0477359146539882
Bronx,Ages 0-4 years,2016-03-19,6,0
Bronx,Ages 0-4 years,2016-03-20,6,0
Bronx,Ages 0-4 years,2016-03-21,4,3.222483778663841
Bronx,Ages 0-4 years,2016-03-22,10,0
Bronx,Ages 0-4 years,2016-03-23,10,0
Bronx,Ages 0-4 years,2016-03-24,10,0
Bronx,Ages 0-4 years,2016-03-25,3,0
Bronx,Ages 0-4 years,2016-03-26,5,0.1658760803749949
Bronx,Ages 0-4 years,2016-03-27,11,0
Bronx,Ages 0-4 years,2016-03-28,9,5.145900621727965
Bronx,Ages 0-4 years,2016-03-29,10,6.6658233253711465
Bronx,Ages 0-4 years,2016-03-30,9,0
Bronx,Ages 0-4 years,2016-03-31,6,0
Bronx,Ages 0-4 years,2016-04-01,14,0
Bronx,Ages 0-4 years,2016-04-02,6,0.8566980356004755
Bronx,Ages 0-4 years,2016-04-03,4,8.096828284880798
Bronx,Ages 0-4 years,2016-04-04,8,0.08406089134257722
Bronx,Ages 0-4 years,2016-04-05,5,8.384225458071679
Bronx,Ages 0-4 years,2016-04-06,5,0
Bronx,Ages 0-4 years,2016-04-07,10,0
Bronx,Ages 0-4 years,2016-04-08,13,3.511362068770635
Bronx,Ages 0-4 years,2016-04-09,10,0
Bronx,Ages 0-4 years,2016-04-10,7,3.0159091087399528
Bronx,Ages 0-4 years,2016-04-11,7,0
Bronx,Ages 0-4 years,2016-04-12,16,0.17837158712727777
Bronx,Ages 0-4 years,2016-04-13,4,4.541466780358575
Bronx,Ages 0-4 years,2016-04-14,15,0
Bronx,Ages 0-4 years,2016-04-15,14,0
Bronx,Ages 0-4 years,2016-04-16,8,0
