system:index,began,cause,country,deaths,displaced,ended,severity,.geo
DFO_1586_From_20000218_to_20000301,,Monsoonal rain,Australia,1.0,200.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1587_From_20000217_to_20000311,,Tropical cyclone,Madagascar,200.0,800000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1595_From_20000405_to_20000425,,Snowmelt,Romania,10.0,623.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1614_From_20000711_to_20000810,,Monsoonal rain,Thailand,33.0,25000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1627_From_20000830_to_20000910,,Tropical cyclone,China,31.0,14140.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1631_From_20000901_to_20000906,,Heavy rain,China,47.0,46000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1641_From_20000918_to_20001021,,Monsoonal rain,India,1468.0,2.4E7,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1725_From_20010512_to_20010608,,Snowmelt,Russia,7.0,70000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1747_From_20010708_to_20010810,,Monsoonal rain,India,100.0,2000000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1772_From_20010806_to_20010913,,Heavy rain,Sudan,5.0,45000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1778_From_20010819_to_20011011,,Brief torrential rain,Chad,100.0,40000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1781_From_20010815_to_20011119,,Monsoonal rain,Cambodia,416.0,1060000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1789_From_20010820_to_20010911,,Heavy rain,India,65.0,300000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1791_From_20010907_to_20010924,,Heavy rain,India,146.0,30000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1793_From_20010818_to_20011009,,Heavy rain,Guinea,11.0,43500.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1810_From_20011001_to_20011201,,Heavy rain,Argentina,2.0,14500.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1818_From_20011026_to_20011115,,Tropical cyclone,Nicaragua,19.0,2.711834E7,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1820_From_20011101_to_20011114,,Heavy rain,Somalia,0.0,6000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1829_From_20011128_to_20011207,,Heavy rain,USA,1.0,400.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1840_From_20011217_to_20011225,,Heavy rain,USA,3.0,100.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1885_From_20020115_to_20020402,,Heavy rain,Brazil,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1907_From_20020416_to_20020421,,Heavy rain,Ethiopia,0.0,4000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1908_From_20020418_to_20020429,,"Dam/Levy, break or release",Bangladesh,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1910_From_20020422_to_20020507,,Snowmelt,Russia,0.0,6000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1917_From_20020426_to_20020528,,Heavy rain,Africa,160.0,168000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1919_From_20020507_to_20020608,,Heavy rain,USA,9.0,100.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1921_From_20020507_to_20020606,,Heavy rain,Russia,0.0,1000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1925_From_20020506_to_20020528,,Heavy rain,Paraguay,0.0,1000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1931_From_20020524_to_20020601,,Snowmelt,Russia,0.0,1500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1938_From_20020604_to_20020606,,"Dam/Levy, break or release",Syria,22.0,8000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1939_From_20020423_to_20020509,,Heavy rain,Uruguay,0.0,3600.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1943_From_20020608_to_20020629,,Heavy rain,USA,0.0,0.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1951_From_20020612_to_20020616,,Heavy rain,Cuba,0.0,30000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1962_From_20020619_to_20020701,,Heavy rain,Russia,117.0,200000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1971_From_20020630_to_20020713,,Heavy rain,China,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1972_From_20020630_to_20020723,,Heavy rain,Texas,9.0,4000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1974_From_20020621_to_20020828,,Monsoonal rain,India,503.0,1.5E7,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1977_From_20020705_to_20020708,,Heavy rain,Columbia,0.0,18000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1979_From_20020706_to_20020708,,Heavy rain,USA,1.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1980_From_20020707_to_20020709,,Heavy rain,Nepal,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1981_From_20020706_to_20020719,,Monsoonal rain,Philippines,61.0,25000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1985_From_20020712_to_20020715,,Heavy rain,New Zealand,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1991_From_20020715_to_20021202,,Monsoonal rain,Vietnam,155.0,200000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1995_From_20020719_to_20020723,,Heavy rain,Romania,5.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1996_From_20020720_to_20020731,,Heavy rain,Venezuela,5.0,50000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1997_From_20020720_to_20020726,,Heavy rain,Russia,0.0,1500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1998_From_20020720_to_20020728,,Tropical cyclone,Philippines,18.0,7000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_1999_From_20020721_to_20020815,,Monsoonal rain,Nepal,380.0,250000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2007_From_20020427_to_20020531,,Snowmelt,USA,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2009_From_20020728_to_20020803,,Heavy rain,South Africa,0.0,2300.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2019_From_20020805_to_20020812,,Heavy rain,China,10.0,1500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2023_From_20020806_to_20020828,,Heavy rain,China,124.0,270000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2024_From_20020807_to_20020828,,Heavy rain,Germany,55.0,250000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2029_From_20020810_to_20020814,,Heavy rain,Iran,35.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2035_From_20020814_to_20020822,,Heavy rain,Vietnam,29.0,80000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2039_From_20020818_to_20021126,,Monsoonal rain,Thailand,65.0,400000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2041_From_20020817_to_20020904,,Monsoonal rain,Burma,0.0,5000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2042_From_20020824_to_20020829,,Heavy rain,Chile,2.0,8000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2045_From_20020831_to_20020903,,Heavy rain,South Korea,138.0,70000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2046_From_20020828_to_20020906,,Heavy rain,Russia,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2049_From_20020903_to_20020906,,Monsoonal rain,India,22.0,5000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2052_From_20020908_to_20020912,,Heavy rain,France,23.0,2500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2056_From_20020906_to_20020919,,Heavy rain,USA,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2059_From_20020920_to_20020930,,Heavy rain,Vietnam,76.0,200000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2060_From_20020921_to_20021008,,Heavy rain,Albania,1.0,9700.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2061_From_20020917_to_20021202,,Monsoonal rain,Thailand,1.0,3000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2063_From_20020926_to_20020929,,Tropical cyclone,USA,1.0,2500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2064_From_20020929_to_20021007,,Heavy rain,USA,8.0,317000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2066_From_20021010_to_20021012,,Heavy rain,USA,3.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2070_From_20021012_to_20021102,,Heavy rain,Argentina,7.0,6000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2073_From_20021012_to_20021111,,Heavy rain,Uruguay,0.0,2000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2075_From_20021024_to_20021028,,Heavy rain,USA,0.0,0.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2076_From_20021023_to_20021113,,Heavy rain,USA,1.0,75.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2077_From_20021026_to_20021029,,Heavy rain,Vietnam,2.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2079_From_20021028_to_20021102,,Heavy rain,China,0.0,50000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2090_From_20021119_to_20021121,,Heavy rain,New Zealand,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2097_From_20021124_to_20021129,,Heavy rain,Morocco,63.0,0.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2099_From_20021122_to_20021203,,Heavy rain,Italy,0.0,10000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2103_From_20021213_to_20021214,,Heavy rain,France,2.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2104_From_20021214_to_20021224,,Heavy rain,USA,6.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2106_From_20021215_to_20021220,,Heavy rain,Indonesia,0.0,60000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2115_From_20030101_to_20030106,,Heavy rain,USA,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2116_From_20030101_to_20030106,,Heavy rain,UK,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2117_From_20030101_to_20030108,,Heavy rain,Germany,7.0,1500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2119_From_20030101_to_20030217,,Heavy rain,Malawi,23.0,400000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2120_From_20030103_to_20030108,,Heavy rain,Bolivia,1.0,6000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2127_From_20030114_to_20030206,,Heavy rain,Indonesia,0.0,30000.0,,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2130_From_20030113_to_20030131,,Heavy rain,Argentina,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2134_From_20030120_to_20030210,,Heavy rain,Malaysia,1.0,1500.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2136_From_20030122_to_20030123,,Heavy rain,UK,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2137_From_20030122_to_20030306,,Heavy rain,Australia,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2138_From_20030123_to_20030210,,Heavy rain,Peru,7.0,12000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2140_From_20030125_to_20030127,,Heavy rain,Italy,1.0,1000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2143_From_20030126_to_20030204,,Heavy rain,Australia,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2145_From_20030128_to_20030210,,Heavy rain,Peru,6.0,34000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2148_From_20030130_to_20030209,,Heavy rain,Indonesia,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2152_From_20030205_to_20030212,,Heavy rain,Australia,1.0,20.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2154_From_20030211_to_20030214,,Heavy rain,Australia,0.0,0.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2158_From_20030216_to_20030217,,Heavy rain,Indonesia,0.0,4300.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_2160_From_20030216_to_20030222,,Heavy rain,Pakistan,20.0,3000.0,,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
