borough,date,asthma_er_count,ppt
Bronx,2016-01-01,60,0
Bronx,2016-01-02,85,0
Bronx,2016-01-03,73,0
Bronx,2016-01-04,110,0
Bronx,2016-01-05,73,0
Bronx,2016-01-06,90,0
Bronx,2016-01-07,84,0
Bronx,2016-01-08,82,0
Bronx,2016-01-09,69,0.0028633308895063534
Bronx,2016-01-10,80,38.819472596215824
Bronx,2016-01-11,102,6.893756700304197
Bronx,2016-01-12,75,0
Bronx,2016-01-13,86,1.4480797876467163e-4
Bronx,2016-01-14,71,0
Bronx,2016-01-15,85,0
Bronx,2016-01-16,68,5.936412536840902
Bronx,2016-01-17,67,0.13598493221505656
Bronx,2016-01-18,80,0.9307095911233146
Bronx,2016-01-19,99,0
Bronx,2016-01-20,100,0
Bronx,2016-01-21,87,0
Bronx,2016-01-22,62,0
Bronx,2016-01-23,43,21.358675855701307
Bronx,2016-01-24,55,44.47275316133489
Bronx,2016-01-25,74,0
Bronx,2016-01-26,74,0
Bronx,2016-01-27,81,0
Bronx,2016-01-28,70,0
Bronx,2016-01-29,64,0
Bronx,2016-01-30,68,0
Bronx,2016-01-31,72,0
Bronx,2016-02-01,88,0
Bronx,2016-02-02,95,0.9093008817111474
Bronx,2016-02-03,77,0
Bronx,2016-02-04,79,13.251471896746231
Bronx,2016-02-05,88,12.846566189934464
Bronx,2016-02-06,61,4.914915095550491
Bronx,2016-02-07,78,0
Bronx,2016-02-08,86,0
Bronx,2016-02-09,106,0.203535945045167
Bronx,2016-02-10,93,0.3792358217828678
Bronx,2016-02-11,69,0.001566478703401613
Bronx,2016-02-12,70,0
Bronx,2016-02-13,56,0
Bronx,2016-02-14,63,0
Bronx,2016-02-15,88,0
Bronx,2016-02-16,92,12.238339714403507
Bronx,2016-02-17,94,21.254652683650548
Bronx,2016-02-18,79,0
Bronx,2016-02-19,82,0
Bronx,2016-02-20,69,0
Bronx,2016-02-21,85,0
Bronx,2016-02-22,87,2.174563380252367
Bronx,2016-02-23,79,0
Bronx,2016-02-24,74,12.173012079397328
Bronx,2016-02-25,77,26.113558498143643
Bronx,2016-02-26,69,0.0094636299612618
Bronx,2016-02-27,72,0
Bronx,2016-02-28,78,0
Bronx,2016-02-29,109,0
Bronx,2016-03-01,74,0.9998598378579633
Bronx,2016-03-02,85,4.379956020348159
Bronx,2016-03-03,78,0
Bronx,2016-03-04,101,2.025921030912493
Bronx,2016-03-05,84,1.278065733385098
Bronx,2016-03-06,94,0
Bronx,2016-03-07,101,0
Bronx,2016-03-08,78,0
Bronx,2016-03-09,84,0
Bronx,2016-03-10,86,0
Bronx,2016-03-11,79,0.3387345808557009
Bronx,2016-03-12,52,0
Bronx,2016-03-13,72,0
Bronx,2016-03-14,97,2.4460788439283268
Bronx,2016-03-15,107,13.059130079317299
Bronx,2016-03-16,86,6.150619063818824e-7
