date,avg_ppt,avg_pm25,total_asthma_er,pollen
2016-01-01,0,5.473833333333333,229,NA
2016-01-02,0,10.085,308,NA
2016-01-03,0,11.415,251,NA
2016-01-04,0,6.395619047619047,328,NA
2016-01-05,0,10.776666666666667,303,NA
2016-01-06,0,14.215,319,NA
2016-01-07,0,22.357166666666668,295,NA
2016-01-08,0,14.096666666666666,300,NA
2016-01-09,8.742078828854476e-4,11.461666666666666,238,NA
2016-01-10,33.885150785582205,4.551,262,NA
2016-01-11,7.099425386961797,6.843333333333334,324,NA
2016-01-12,0,8.6,288,NA
2016-01-13,0.1573542414561055,8.193666666666667,279,NA
2016-01-14,0,12.605,267,NA
2016-01-15,0,17.74,297,NA
2016-01-16,6.971008154652962,8.611666666666666,234,NA
2016-01-17,0.120504519166887,7.433333333333334,276,NA
2016-01-18,1.1948625341721981,7.8,291,NA
2016-01-19,0,5.7705,336,NA
2016-01-20,0,6.443333333333333,330,NA
2016-01-21,0,7.361666666666666,310,NA
2016-01-22,0.0398476102817323,5.029833333333333,247,NA
2016-01-23,18.184459496716123,5.658333333333333,144,NA
2016-01-24,44.67988635769539,9.055,204,NA
2016-01-25,0,14.01,289,NA
2016-01-26,0,13.264999999999999,289,NA
2016-01-27,0.06651437473110317,10.226666666666667,318,NA
2016-01-28,0,11.273,296,NA
2016-01-29,0,11.365,260,NA
2016-01-30,0.0021387268844737708,9.308333333333334,226,NA
2016-01-31,0,12.165000000000001,263,NA
2016-02-01,0,12.825000000000001,314,NA
2016-02-02,1.1410953711099245,7.983333333333333,303,NA
2016-02-03,0,6.1258333333333335,261,NA
2016-02-04,15.7012289407781,6.478333333333333,263,NA
2016-02-05,12.692405234923573,5.596666666666667,255,NA
2016-02-06,5.264927006776923,8.498166666666666,232,NA
2016-02-07,0,12.943333333333333,246,NA
2016-02-08,0,6.196666666666666,287,NA
2016-02-09,2.2717576927431935,9.736,337,NA
2016-02-10,0.12456936564568362,10.335,291,NA
2016-02-11,0.07882845065007758,5.406666666666666,265,NA
2016-02-12,0,6.246833333333333,279,NA
2016-02-13,0,7.65,227,NA
2016-02-14,0,6.628333333333333,226,NA
2016-02-15,0,11.811666666666666,301,NA
2016-02-16,13.557044208914261,7.531666666666666,347,NA
2016-02-17,20.29551427153256,8.803333333333333,320,NA
2016-02-18,0,4.8373333333333335,306,NA
2016-02-19,0,6.7283333333333335,265,NA
2016-02-20,0,8.47,233,NA
2016-02-21,0,8.493333333333334,252,NA
2016-02-22,1.5210135875529447,5.8566666666666665,286,NA
2016-02-23,0,5.46,274,NA
2016-02-24,11.485591789591604,4.205523809523809,278,NA
2016-02-25,29.500986642671737,5.453333333333333,254,NA
2016-02-26,0.32827223057478044,4.865,258,NA
2016-02-27,0,6.738333333333333,245,NA
2016-02-28,0,11.303333333333333,273,NA
2016-02-29,0,9.211666666666666,340,NA
2016-03-01,1.1924884693181472,5.8455,285,NA
2016-03-02,5.020259704591777,7.640000000000001,283,NA
2016-03-03,0,5.133333333333333,258,NA
2016-03-04,2.131668979760752,8.448952380952381,277,NA
