"STATION","NAME","DATE","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-01","42","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-02","40","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-03","45","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-04","36","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-05","29","11"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-06","41","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-07","46","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-08","46","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-09","47","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-10","59","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-11","40","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-12","44","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-13","30","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-14","38","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-15","51","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-16","52","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-17","42","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-18","31","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-19","28","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-20","37","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-21","36","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-22","30","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-23","27","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-24","35","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-25","39","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-26","48","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-27","47","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-28","42","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-29","41","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-30","39","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01-31","56","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-01","59","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-02","50","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-03","59","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-04","59","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-05","44","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-06","40","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-07","47","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-08","39","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-09","36","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-10","39","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-11","31","18"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-12","27","15"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-13","22","6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-14","15","-1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-15","35","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-16","54","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-17","39","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-18","36","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-19","39","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-20","61","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-21","55","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-22","52","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-23","40","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-24","60","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-25","61","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-26","39","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-27","41","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-28","60","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02-29","61","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-01","52","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-02","55","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-03","36","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-04","39","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-05","41","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-06","44","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-07","60","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-08","67","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-09","77","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-10","79","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-11","68","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-12","59","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-13","62","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-14","51","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-15","57","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-16","65","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-17","63","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03-18","57","42"
