EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
615904,SOUTHERN QUEENS (ZONE), ,01/10/2016,700,Coastal Flood, , ,0,0,0,0,NY,EST-5, ,103046,Z,178,OKX,0,0,Emergency Manager, , , , , , , , ,01/10/2016,1100, , , , ,"In Southern Queens, Hamilton Beach, Broad Channel and Old Howard Beach experienced minor to moderate flooding during the high tide on January 10th due to a 2 foot surge above high tide. ||One to two feet of inundation occurred on West 12th Road in Broad Channel, on Calhoun Road, Davenport Court and Rau Court in Hamilton Beach, and 98th Street and 162th Avenue in Old Howard Beach.","Strong high pressure over Southeast Canada and low pressure drifting off the Mid Atlantic coast resulted in 2 days of persistent northeast winds Jan 8th and 9th. This was followed by 12 to 18 hours of east to southeast winds of 15 to 20 mph with gusts to 30 to 35 mph leading into high tides on Jan 10th.  The resultant surge combined with high astronomical tides, resulted in widespread minor to moderate coastal flooding along southern and western coastal areas of Long Island and New York City on the morning of January 10th.",1
621174,RICHMOND (STATEN IS.) (ZONE), ,01/22/2016,2230,Winter Storm, , ,0,0,0,0,NY,EST-5, ,103820,Z,74,OKX,0,1,Public, , , , , , , , ,01/23/2016,2300, , , , ,"The public and trained spotters reported snowfall ranging from 20 to 31 inches.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",2
620987,NEW YORK (MANHATTAN) (ZONE), ,01/22/2016,2300,Winter Storm, , ,0,0,0,0,NY,EST-5, ,103820,Z,72,OKX,0,0,Official NWS Observations, , , , , , , , ,01/23/2016,2300, , , , ,"Central Park reported an all-time storm total snowfall of 27.5 inches.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",3
620870,KINGS (BROOKLYN) (ZONE), ,01/22/2016,2315,Winter Storm, , ,0,0,0,0,NY,EST-5, ,103820,Z,75,OKX,0,1,Trained Spotter, , , , , , , , ,01/23/2016,2300, , , , ,"The public, trained spotters, and a CoCoRaHS observer reported snowfall of 20 to 29 inches.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",4
621180,SOUTHERN QUEENS (ZONE), ,01/22/2016,2330,Winter Storm, , ,0,0,0,0,NY,EST-5, ,103820,Z,178,OKX,0,0,Official NWS Observations, , , , , , , , ,01/23/2016,2230, , , , ,"JFK Airport reported an all time record storm total snowfall of 30.6 inches. Also, winds gusted to 48 mph at 9:00 AM at JFK, and to 43 mph at 5:02 PM at Breezy Point, on Saturday January 23rd.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",5
621181,NORTHERN QUEENS (ZONE), ,01/22/2016,2330,Winter Storm, , ,0,0,0,0,NY,EST-5, ,103820,Z,176,OKX,0,2,Official NWS Observations, , , , , , , , ,01/23/2016,2230, , , , ,"LaGuardia Airport reported an all time record storm total snowfall of 28.2 inches. Elsewhere, the public and trained spotters reported snowfall of 20 to 27 inches. Also, winds gusted to 48 mph at 9:00 AM at LaGuardia on Saturday January 23rd.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",6
620868,BRONX (ZONE), ,01/23/2016,0,Winter Storm, , ,0,0,0,0,NY,EST-5, ,103820,Z,73,OKX,0,0,Trained Spotter, , , , , , , , ,01/23/2016,2230, , , , ,"A trained spotter at the Bronx Zoo measured 27.6 inches of snow. A cooperative observer in Parkchester also measured 26.8 inches of snow.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",7
621195,SOUTHERN QUEENS (ZONE), ,01/23/2016,700,Blizzard, , ,0,0,0,0,NY,EST-5, ,103820,Z,178,OKX,0,0,ASOS, , , , , , , , ,01/23/2016,1900, , , , ,"JFK Airport ASOS observations showed blizzard conditions, with visibility less than one quarter mile in heavy snow and frequent wind gusts over 35 mph through the day and into the early evening on Saturday January 23rd.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",8
621192,RICHMOND (STATEN IS.) (ZONE), ,01/23/2016,700,Blizzard, , ,0,0,0,0,NY,EST-5, ,103820,Z,74,OKX,0,0,ASOS, , , , , , , , ,01/23/2016,2000, , , , ,"Nearby Newark and JFK Airport ASOS observations showed blizzard conditions, with visibility less than one quarter mile in heavy snow and frequent wind gusts over 35 mph through the day and into the evening on Saturday January 23rd.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",9
621190,NORTHERN QUEENS (ZONE), ,01/23/2016,700,Blizzard, , ,0,0,0,0,NY,EST-5, ,103820,Z,176,OKX,0,0,ASOS, , , , , , , , ,01/23/2016,1900, , , , ,"LaGuardia Airport ASOS observations showed blizzard conditions, with visibility less than one quarter mile in heavy snow and frequent wind gusts over 35 mph through the day and into the early evening on Saturday January 23rd.","Low pressure moving across the deep South on Thursday January 21st and Friday January 22nd intensifed and moved off the Mid Atlantic coast on Saturday January 23rd, bringing heavy snow and strong winds to southeast New York, and blizzard conditions to Long Island, New York City, and nearby southern Westchester County.||NY Gov. Cuomo declared a state of emergency early Saturday January 23rd. Metro North and Long Island Railroad service halted at 4 PM Saturday.||In New York City, the blizzard contributed to more than 400 car crashes, and streets were closed to all but emergency vehicles from mid-afternoon Saturday January 23nd until 7 AM Sunday January 24th. Much of the city's mass transit was shut down, along with bridges and tunnels across the city and to/from New Jersey. The Port Authority Bus Terminal, the busy Midtown NYC transportation hub, closed its doors at 4 PM Saturday. Broadway shows announced all Saturday performances were canceled.||Travel in and out of New York City airports lagged through Monday January 25th as airlines pre-emptively cut hundreds of flights. All arrivals and departures were eventually canceled due to severe winter weather conditions at LaGuardia airport, with Kennedy at a virtual standstill as well. More than 1,000 flights out of New York City-area airports were cancelled, including 90% of flights from LaGuardia.",10
